"Please be mindful when editing!","The person generating the game needs a copy of each APWorld that is to be used for the game. If the APWorld requires a specific ROM to generate, they need that ROM too.","","","","","","","",""
"Headers are locked to prevent auto-sorts from being done","The APWorlds should be placed in the host's Archipelago install in the custom_worlds folder. Then, the host can generate the game by following the instructions here: https://archipelago.gg/tutorial/Archipelago/setup/en#generating-a-game","","","","","","","",""
"If something is missing, add it! Someone will move it later.","Alternate place to get info on APWorlds: https://discord.com/channels/731205301247803413/1343416927871307776","","","","","","","",""
"Do not sort","Please only download APWorlds from trusted sources. You need to run custom code to generate a game, which is a potential security vulnerability if you managed to find a malicious APWorld.","","","","","","","",""
"Game","Status","Where can you get the APWorld and Client?","Notes","","","","","",""
"PokéPark Wii: Pikachu's Adventure","Unstable","https://github.com/Mekurushi/Archipelago_Pokepark/releases","All versions work. Mostly stable, but still has some bugs that may require the host to run /send_location. Goal does not work sometimes.","","","","","",""
"Pokémon Black and White","Unstable","https://github.com/BlastSlimey/PokemonBWAP/releases","","","","","","",""
"Pokémon Pinball","Unstable","https://github.com/Happyhappyism/Archipelago/releases?q=Pokemon+Pinball&expanded=true","Not completed but mostly playable","","","","","",""
"Pokémon Platinum","Unstable","https://github.com/ljtpetersen/platinum_archipelago/releases/","No Pokemon randomization at the time of writing this.","","","","","",""
"Pokémon Stadium","Unstable","https://github.com/jciii91/Pokemon-Stadium/releases","Setup Guide can be found on the first release page","","","","","",""
"PowerWash Simulator","Unstable","https://github.com/SWCreeperKing/PowerwashSimAP/releases/","You can only play levels which are unlocked in a vanilla game","","","","","",""
"Quake","Unstable","https://github.com/randomcodegen/ironwail_ap/releases/latest","PEGI 18, so not allowed on the main discord. Discord thread for reporting bugs is in the After Dark discord","","","","","",""
"Ratchet & Clank","Unstable","https://github.com/Panda291/Archipelago/releases/","First PS3 game on Archipelago!","","","","","",""
"Ratchet & Clank 3: Up Your Arsenal","Unstable","https://github.com/Taoshix/Archipelago-RaC3/releases/","Setup Guide: https://github.com/Taoshix/Archipelago-RaC3/blob/staging/worlds/rac3/docs/setup_en.md 
Supports both Universal Tracker and poptracker","","","","","",""
"Refunct","Unstable","https://github.com/spinerak/refunct-tas-archipelago/releases","","","","","","",""
"R.E.P.O","Unstable","https://github.com/Automagic00/R.E.P.O.-Archipelago-Client-Mod/releases","Requires ThunderStore Mod Manager","","","","","",""
"Resident Evil 7","Unstable","APWorld: https://github.com/ElGrenier/RE7_AP_World/releases/ 
Client: https://github.com/ElGrenier/RE7_AP_Client/releases/ ","Not allowed on the main discord due to 18+ age rating. 1st and 2nd chapter are playable (Guest House + Mainhouse)
Please report errors in the RE7 channel in the AD Archipelago discord","","","","","",""
"Return of the Obra Dinn","Unstable","","USK 18, not allowed on main and only found in After Dark, game mod at https://github.com/wkcheezy/ObraDinnArchipelago/releases/latest","","","","","",""
"Rimworld","Unstable","https://github.com/PhantomOfAres/ArchipelagoRimworld/releases/","PEGI 18, so the Discord thread is on the After Dark discord.","","","","","",""
"Risk of Rain","Unstable","https://github.com/studkid/RoR_Archipelago/releases","Works with 2013 and Returns. Uses the same APWorld.","","","","","",""
"The Settlers: Heritage of Kings","Unstable","APWorld: https://github.com/ZorkManu/SettlersHeritageOfKingsAPWorld/tree/main 
Mappack: https://github.com/ZorkManu/ArchipelagoS5Mappack ","More information needed, this section of the entry will be edited after obtaining it","","","","","",""
"Severed Soul","Unstable","https://github.com/Grenhunterr/Archipelago/releases","","","","","","",""
"Shadowgate 64: Trials of the Four Towers","Unstable","https://github.com/jjjj12212/Archipelago-Shadowgate64/releases","","","","","","",""
"shapez 2","Unstable","https://github.com/BlastSlimey/2hapezipelago_legacy/releases","Very early alpha, playable but just a proof of concept for now","","","","","",""
"Shining in the Darkness","Unstable","https://github.com/lagdotcom/Archipelago/releases/","","","","","","",""
"Shovel Knight Pocket Dungeon","Unstable","https://github.com/Mitchell1711/Archipelago/releases","Playable, mod support for the game is still in active development however","","","","","",""
"Signalis","Unstable","https://github.com/devoidlazarus/SIGNALISArchipelagoRandomizer/releases/latest","Setup Guide: https://github.com/devoidlazarus/SIGNALISArchipelagoRandomizer/blob/main/installation_instructions.md","","","","","",""
"Silver Daze","Unstable","https://github.com/udime123/Silver-Daze-APWorld/releases/","Completely playable, marked as unstable as it has not been thoroughly tested yet and could have unforeseen issues.","","","","","",""
"Slime Rancher","Unstable","https://github.com/SWCreeperKing/Slimipelago/releases","","","","","","",""
"Smushi Come Home","Unstable","APWorld: https://github.com/xMcacutt-Archipelago/Archipelago-SmushiComeHome/releases 
Client: https://github.com/xMcacutt-Archipelago/Smushi-AP-Client/releases ","","","","","","",""
"Sonic Advance 2","Unstable","https://github.com/NiwatoriCode/sadv2_ap_releases/releases","Setup Guide can be found here","","","","","",""
"Sonic Battle","Unstable","Check the future game design thread for the latest apworld","The latest build is NOT the pinned one as of currently","","","","","",""
"Space Engineers","Unstable","https://discord.com/channels/731205301247803413/1150549089017143467/1190140487806496910","Abandoned but never forgotten, requires downpatching","","","","","",""
"Spelunky 2","Unstable","https://github.com/DDR-Khat/Spelunky2-Archipelago/releases/latest","","","","","","",""
"Spirit Valley","Unstable","https://github.com/DotsofdarknessArchipelago/Spirit-Valley-Archipelago/releases/latest","Not allowed on the main discord due to 18+ sexual content. See the After Dark discord for the game's thread.","","","","","",""
"Spyro the Dragon","Unstable","https://github.com/gamefreq0/Archipelago/releases","As of the week of its release Portal Shuffle doesn't work along other issues.","","","","","",""
"Streets of Rage","Unstable","https://github.com/UltiNaruto/SOR_AP_Randomizer/releases","Only the MegaDrive (W) (REV00), 3D Streets of Rage and Sega Classics (Steam) ROMs are supported","","","","","",""
"Super Adventure Island II","Unstable","Check in the future game design channel for the latest apworld + yaml file","Extremely early development, but technically playable. May have logic issues.","","","","","",""
"Super Mario RPG","Unstable","Check the future game design channel for the latest apworld and instructions for your ROM","Requires a North American rom, as well as editing your host.yaml file to play","","","","","",""
"Super Mario Sunshine","Unstable","https://github.com/Joshark/archipelago-sms/releases/","Remember to start the game up and have it fully running BEFORE opening the client at all.
Setup Guide: https://github.com/Joshark/archipelago-sms/blob/main/worlds/sms/docs/setup_en.md","","","","","",""
"Super Mario Sunshine Arcade 2","Unstable","https://github.com/Jorbori/SMSA2AP/releases","","","","","","",""
"Super Mario World: Spicy Mycena Waffles","Unstable","https://github.com/TheLX5/Archipelago/releases?q=""Spicy+Mycena+Waffles""&expanded=true","Fork of the Super Mario World AP Randomizer
See its thread in the future-game-design channel for information.
https://discord.com/channels/731205301247803413/1178700404637311086/1296169222396969012","","","","","",""
"Super Metroid Map Rando","Unstable","Check in the future game design channel for the latest apworld","Implementation rewrite is being tested, may contain bugs","","","","","",""
"Super Smash Bros. Melee","Unstable","https://github.com/PinkSwitch/Archipelago/releases?q=melee&expanded=true","Possible that a newer version exists in the pins of its thread","","","","","",""
"Supraland","Unstable","APWorld: https://github.com/DrNjitram/ArchipelagoSupra/releases
Client: https://github.com/DrNjitram/SuprAP/releases","Early Alpha, full runs not expected to work
Setup Guide can be found the future-game-design thread","","","","","",""
"Totally Accurate Battle Simmulator (TABS)","Unstable","https://github.com/duckboycool/TABS-Archipelago","","","","","","",""
"Total War: Warhammer III","Unstable","https://github.com/SinthorasRage/Archipelago_TWW3","Alpha build finished, playable and probably stable and enjoyable, but Testers are needed and a lot of features are not refined yet.","","","","","",""
"Touhou Eiyashou ~ Imperishable Night","Unstable","https://github.com/Nepley/in-apworld/releases","Unrated, see the After Dark Discord for the game's channel.","","","","","",""
"Ty The Tasmanian Tiger 2","Unstable","APWorld: https://github.com/FyreDay/Archipelago-TyTheTasmanianTiger2/releases 
Client: https://github.com/FyreDay/Archipelago-TyTheTasmanianTiger2/releases ","Public prerelease for testing, do not bring to other people's multiworlds","","","","","",""
"Unfair Flips","Unstable","APWorld: https://github.com/xMcacutt-Archipelago/Archipelago-UnfairFlips/releases/latest
Mod: https://github.com/robotzurg/UnfairFlipsAPMod","Playable, but very early in development.
Thread: https://discord.com/channels/731205301247803413/1443942587974029322","","","","","",""
"Vacation Simulator","Unstable","Check the future game design channel for the latest apworld and mod","Source Code: GitHub - chandler05/APVacationSim: An Archipelago Integration mod for the game Vacation Simulator","","","","","",""
"Valheim","Unstable","https://github.com/Samupo/ValheimArchipelagoRandomizer/releases","The .apworld file is inside the zip file","","","","","",""
"Vespadian","Unstable","https://github.com/Quinn-Patrick/Archipelago-Vespadian/releases","","","","","","",""
"Void Stranger","Unstable","https://github.com/CriminalPancake/void-stranger-ap","A specific key item doesn't get received properly when the game isn't connected to the AP server","","","","","",""
"Voltorb Flip (from Pokémon HG & SS)","Unstable","https://github.com/BlastSlimey/Archipelago/releases?q=Voltorb+Flip&expanded=true","Very silly little thing, only a handful of checks and all items are filler","","","","","",""
"WEBFISHING","Unstable","Releases · mwoiii/webfishing-ap","","","","","","",""
"West of Loathing","Unstable","https://github.com/Lucasvdm/WOLAP/releases/latest","Playable, but early alpha, expect bugs and logic issues and other weirdness","","","","","",""
"Word Search","Unstable","APWorld: https://github.com/ProfDeCube/Archipelago/releases/tag/wordsearch 
Client: https://apworlds.com/word-search?ver=preview","Has some logic bugs, currently playable","","","","","",""
"Xenoblade Chronicles X","Unstable","https://github.com/MaragonMH/Archipelago/releases","Early state, has logic issues, game is very long","","","","","",""
"Yet Another Rhythm Game (YARG)","Unstable","https://github.com/energymaster22/YARGArchipelago/releases/latest","","","","","","",""
"Yoku's Island Express","Unstable","https://git.makuluni.com/Archipelago/YokuAPWorld/releases","Playable, occasionally crashes. See its thread in the future-game-design channel.","","","","","",""
"Yu-Gi-Oh! GX - Duel Academy (GBA)","Unstable","Check the future game design channel for the latest apworld","","","","","","",""
"Christmas Delivery","Broken on Main","https://github.com/ObsidianMakerDevelopment/christmasdeliveryapworld/releases/latest","Setup instructions: Download the ChristmasDelivery.html and run it.
Does not work in 0.6.2 or higher.","","","","","",""
"Momodora 4 - Reverie Under the Moonlight","Broken on Main","https://github.com/ordinary-magic/MomodoraArchipelagoRandomizer/releases","Does not work in 0.6.2 or higher","","","","","",""
"Password Game","Broken on Main","https://github.com/ThePhar/ThePasswordGameArchipelago/releases/latest","Does not work in 0.6.2 or higher. Will have problems if multiple games share item or location IDs.","","","","","",""
"Santa Needs YOU!","Broken on Main","https://github.com/Ishigh1/Santa_AP/releases/latest","A meta game about the archipelago gifting mechanic.
Does not work in 0.6.2 or higher.","","","","","",""
"Seedling","Broken on Main","https://github.com/madisonsilver/SeedlingArchipelagoWorld/releases","Documentation/Setup: https://github.com/madisonsilver/SeedlingArchipelagoWorld/tree/main/seedling/docs 
Does not work in 0.6.2 or higher.","","","","","",""
